POINT_X,POINT_Y
756985.279123884,7521287.5004698
756985.279123884,7521275.34615339
757003.914203465,7521275.34615339
756966.644044303,7521263.19183699
756985.279123884,7521263.19183699
757003.914203465,7521263.19183699
756966.644044303,7521251.03752059
756985.279123884,7521251.03752059
757003.914203465,7521251.03752059
757022.549283046,7521251.03752059
756966.644044303,7521238.88320418
756985.279123884,7521238.88320418
757003.914203465,7521238.88320418
757022.549283046,7521238.88320418
756948.008964722,7521226.72888778
756966.644044303,7521226.72888778
756985.279123884,7521226.72888778
757003.914203465,7521226.72888778
757022.549283046,7521226.72888778
756948.008964722,7521214.57457138
756966.644044303,7521214.57457138
756985.279123884,7521214.57457138
757003.914203465,7521214.57457138
757022.549283046,7521214.57457138
756929.373885141,7521202.42025497
756948.008964722,7521202.42025497
756966.644044303,7521202.42025497
756985.279123884,7521202.42025497
757003.914203465,7521202.42025497
757022.549283046,7521202.42025497
757041.184362627,7521202.42025497
756929.373885141,7521190.26593857
756948.008964722,7521190.26593857
756966.644044303,7521190.26593857
756985.279123884,7521190.26593857
757003.914203465,7521190.26593857
757022.549283046,7521190.26593857
757041.184362627,7521190.26593857
756910.73880556,7521178.11162217
756929.373885141,7521178.11162217
756948.008964722,7521178.11162217
756966.644044303,7521178.11162217
756985.279123884,7521178.11162217
757003.914203465,7521178.11162217
757022.549283046,7521178.11162217
757041.184362627,7521178.11162217
756910.73880556,7521165.95730576
756929.373885141,7521165.95730576
756948.008964722,7521165.95730576
756966.644044303,7521165.95730576
756985.279123884,7521165.95730576
757003.914203465,7521165.95730576
757022.549283046,7521165.95730576
757041.184362627,7521165.95730576
756892.103725979,7521153.80298936
756910.73880556,7521153.80298936
756929.373885141,7521153.80298936
756948.008964722,7521153.80298936
756966.644044303,7521153.80298936
756985.279123884,7521153.80298936
757003.914203465,7521153.80298936
757022.549283046,7521153.80298936
757041.184362627,7521153.80298936
756892.103725979,7521141.64867296
756910.73880556,7521141.64867296
756929.373885141,7521141.64867296
756948.008964722,7521141.64867296
756966.644044303,7521141.64867296
756985.279123884,7521141.64867296
757003.914203465,7521141.64867296
757022.549283046,7521141.64867296
757041.184362627,7521141.64867296
756873.468646398,7521129.49435655
756892.103725979,7521129.49435655
756910.73880556,7521129.49435655
756929.373885141,7521129.49435655
756948.008964722,7521129.49435655
756966.644044303,7521129.49435655
756985.279123884,7521129.49435655
757003.914203465,7521129.49435655
757022.549283046,7521129.49435655
757041.184362627,7521129.49435655
756873.468646398,7521117.34004015
756892.103725979,7521117.34004015
756910.73880556,7521117.34004015
756929.373885141,7521117.34004015
