POINT_X,POINT_Y,0,1,2,3,4,5,6,7,8,9,dist_e_0,dist_e_1,dist_e_2,dist_e_3,dist_e_4,dist_e_5,dist_e_6,dist_e_7,dist_e_8,dist_e_9,dist_m_0,dist_m_1,dist_m_2,dist_m_3,dist_m_4,dist_m_5,dist_m_6,dist_m_7,dist_m_8,dist_m_9,dist_r,angle_center_0,angle_center_1,angle_center_2,angle_center_3,angle_center_4,angle_center_5,angle_center_6,angle_center_7,angle_center_8,angle_center_9,Ca
755907.5,7519786.0,0,0,0,0,0,0,0,1,0,0,934.6367904574478,2079.8027706569087,705.3306903828864,2825.1998543235736,1128.993114856794,1903.6584683967508,1417.8536636067533,274.3350374217964,1802.848093749172,2567.089409929568,1250.81729268271,2586.4530000002123,987.6183333336376,3028.4637500003446,1339.4758292685729,2422.8972162157297,2002.5485806453507,331.77519999968354,1812.1271212118445,2914.578375000041,0.3889452722847982,2.685350129188873,-2.8524712609246414,-2.2154030900296178,-3.0667789083775454,-2.9316664618233097,2.8072762165059895,-2.4071178341329045,2.901130385995665,3.1364324453495143,2.9949759182715576,67
756085.625,7519992.5,0,0,0,0,0,0,0,1,0,0,905.0277208059039,1856.0375085086093,433.6215831298719,2639.1762092031613,926.529265178573,1820.8870844588807,1147.7567753380781,285.82027578315547,1638.9686036921796,2431.9730769822004,1279.19229268271,2201.8280000002123,602.9933333336376,2643.8387500003446,954.8508292685729,2451.2722162157297,1617.9235806453507,360.15019999968354,1840.5021212118445,2942.953375000041,0.6591467927405975,2.389508906398321,-2.9318330645988477,-2.173189776982523,-3.139824424139053,-3.110538138393681,2.66759686238507,-2.436642167241332,1.884931842630235,3.00953917307215,2.9001341067153388,59
756908.438,7520203.5,0,0,0,0,1,0,0,0,0,0,844.9367576543622,1007.9337476535503,595.3700034573374,1828.0409634502375,209.4588082133906,1312.1628443733553,535.2127684660203,878.9838437986525,908.3953596695303,1730.7292745429772,991.1816829266027,1168.0150000002468,723.4122592596104,2022.6924166664248,285.5012439022539,1839.4592162157642,584.1105806453852,1217.3294666663278,1228.689121211879,2331.1403750000754,0.391356149468786,1.3779905951033757,-2.966609272203641,-0.2482658246712834,3.0284803217008416,2.086365697355013,2.223883422935225,-1.6669222845095593,0.5815365327364843,2.6524799501318816,2.6659413880583984,35
756805.688,7520204.0,0,0,0,0,1,0,0,0,0,0,831.88612311164,1109.1799519194374,496.26568169842557,1930.2227077491393,275.38141969602225,1377.3965937417122,554.1065192489793,795.4333963899132,1000.4770545501104,1822.8983352610687,888.9316829266027,1270.2650000002468,620.1622592596104,2125.942416666425,388.7512439022539,1942.7092162157642,686.3605806453852,1115.0794666663278,1331.939121211879,2434.3903750000754,0.5549072399154292,1.4996313547270181,-2.983181096862814,-0.29818604005223204,3.0342313580525313,2.416027180729911,2.2829431877713673,-1.8526524634012012,0.6530796645940028,2.700310350242747,2.6915114407975484,44
757092.188,7520407.0,0,0,0,0,0,0,1,0,0,0,1089.0869040986938,809.2774908684887,763.0132877695827,1683.2634315797359,394.0381390436404,1388.5532193101178,354.8592329223807,1146.398449853097,882.8216903164808,1681.5830338025335,1378.4316829266027,836.8190540537471,818.069666666328,2042.4424166664248,466.2121707313927,1859.2092162157642,461.6232903228374,1604.5794666663278,1248.439121211879,2350.8903750000754,0.9005707766858564,1.2478340696066055,3.106953567604448,0.07504119169285439,2.8956451163099652,1.3651035673984482,2.0284897711378944,-1.1884987675660803,0.6418603056520837,2.3464490776950226,2.5076603381446283,29
755908.0,7519686.5,0,0,0,0,0,0,0,1,0,0,894.797785088112,2109.8550202387846,786.8694451571962,2833.877129738221,1153.360366971838,1872.8895883969724,1486.0199695560184,268.12765160885635,1804.579624736428,2553.95336149616,1150.81729268271,2685.4530000002123,1086.6183333336376,3127.4637500003446,1438.4758292685729,2322.8972162157297,2101.5485806453507,300.10853333363775,1892.5210606063483,2814.578375000041,0.34075239959951853,2.7850935560613777,-2.807185952325702,-2.138838308863161,-3.031745860601864,-2.8470996453233024,2.857394704746793,-2.3571769604677524,-3.01381839069276,-3.0915895580479154,3.033498058767051,97
758190.063,7520426.0,0,1,0,0,0,0,0,0,0,0,1786.059929154067,292.88309362932625,1860.302387208761,685.4477132910469,1245.9250993003373,1354.1969594866264,1268.7713573193544,2135.939965304232,807.3065378504182,1047.0574382423424,2495.3066829266027,336.1099999997532,1934.944666666328,963.5674166664248,1583.0871707313927,1748.9360540536,1540.4982903228374,2721.454466666328,1129.0419393936172,1272.0153750000754,0.42728728676196726,0.6296762012534127,0.1612639289419286,0.04097453813609859,2.465660021599377,0.3308471296762445,1.2050679417994066,-0.247026230456515,0.3365382462546439,0.9344681322462055,1.818764307816232,15
758294.563,7520425.0,0,1,0,0,0,0,0,0,0,0,1870.96892928095,396.2651181105761,1964.6808075884667,606.747663837759,1344.8856574094195,1394.0804413184371,1370.5641426749276,2234.528906857962,872.715258257477,1025.4319988929549,2598.8066829266027,439.6099999997532,2038.444666666328,858.0674166664248,1686.5871707313927,1852.4360540536,1645.9982903228374,2824.954466666328,1232.5419393936172,1166.5153750000754,0.6530970644438036,0.5963469223078427,0.11641487602748166,0.03828717630489977,2.358992339975961,0.30490000505717685,1.1347512471927388,-0.22908896261362385,0.32067202082804935,0.8373286656591581,1.7200522075391562,11
758511.313,7519932.0,0,0,0,1,0,0,0,0,0,0,1850.825246057729,756.4992904600837,2219.6653675271423,223.2087549384831,1502.2600886602143,1114.8052719982816,1747.5631776551545,2346.905535533432,815.9057934025208,524.9796816697466,2322.5566829266027,1057.305945946253,2597.7872592596104,278.65075000037905,1588.873756097746,1576.1860540536,2355.7482903228374,2548.704466666328,956.2919393936172,585.2971249999246,0.42517598819928987,0.30612758985433114,-0.6321044133196076,-0.1893544287959667,-2.8453235458486255,-0.0594576879094076,0.7632497157876489,-0.4782290691510127,0.09016979145693427,0.1915128630110812,1.4480725709913735,14
758411.938,7519225.5,0,0,0,0,0,0,0,0,0,1,1672.028299407987,1261.5775638162038,2364.953476752274,832.6765581359548,1610.5565889822308,709.0823252766368,2095.47767044558,2292.1205728741475,892.2332524812128,188.76257013728494,1814.1207073172554,1664.430945946253,3204.9122592596104,1084.525750000379,2195.998756097746,770.3110540536,2962.8732903228374,2733.162800000282,1252.810878788121,220.57787500007544,0.26620684708738485,-0.08906327012727352,-1.153800972547745,-0.49541739713577704,-1.9559774786359634,-0.5167938242053939,0.090571860355451,-0.805177253369156,-0.21774655396730588,-0.665906575967293,-1.7578820068921337,15
