Nr,ID,POINT_X,POINT_Y,Sand,Silt,Clay,Ca,set
168,A303,757506.938,7519612.0,80,4,16,10,cal_candidate
171,A309,757209.0,7519606.0,84,2,14,11,cal_candidate
172,A311,757106.938,7519606.0,82,4,14,7,cal_candidate
173,A313,757006.188,7519603.0,76,4,20,6,cal_candidate
174,A315,756900.438,7519598.5,80,4,16,5,cal_candidate
193,A317,756708.75,7519498.5,80,4,16,4,cal_candidate
195,A321,756906.938,7519499.5,82,2,16,7,cal_candidate
196,A323,757007.188,7519501.0,82,2,16,7,cal_candidate
197,A325,757110.375,7519507.5,82,2,16,6,cal_candidate
198,A327,757208.25,7519507.0,80,2,18,6,cal_candidate
199,A329,757310.313,7519506.5,82,2,16,8,cal_candidate
200,A331,757410.438,7519509.0,76,4,20,10,cal_candidate
202,A335,757606.063,7519514.0,78,2,20,10,cal_candidate
203,A337,757707.438,7519514.0,76,4,20,9,cal_candidate
204,A339,757809.0,7519516.5,74,4,22,13,cal_candidate
206,A343,758010.625,7519521.0,76,4,20,17,cal_candidate
215,A353,757510.625,7519410.5,78,4,18,12,cal_candidate
216,A355,757411.563,7519410.5,76,6,18,45,cal_candidate
219,A361,757111.438,7519407.0,80,4,16,8,cal_candidate
220,A363,757010.0,7519404.5,80,4,16,6,cal_candidate
221,A365,756909.25,7519402.0,82,4,14,5,cal_candidate
222,A367,756810.25,7519399.5,80,4,16,8,cal_candidate
223,A369,756709.125,7519398.0,76,6,18,7,cal_candidate
224,A371,756610.125,7519395.0,62,8,30,6,cal_candidate
225,A373,756510.063,7519393.5,44,14,42,16,cal_candidate
230,A375,756413.938,7519293.5,42,10,48,25,cal_candidate
234,A377,756813.0,7519299.0,82,4,14,11,cal_candidate
235,A379,756910.563,7519299.0,84,2,14,10,cal_candidate
236,A381,757010.375,7519302.5,86,2,12,9,cal_candidate
237,A383,757111.438,7519306.5,84,2,14,13,cal_candidate
238,A387,757311.063,7519307.0,84,2,14,24,cal_candidate
240,A389,757511.0,7519311.5,82,2,16,17,cal_candidate
241,A391,757610.688,7519311.0,84,2,14,15,cal_candidate
245,A393,758010.125,7519316.0,78,6,16,18,cal_candidate
246,A395,758109.875,7519320.0,80,4,16,12,cal_candidate
247,A397,758210.688,7519328.0,82,4,14,19,cal_candidate
250,A401,758014.875,7519219.0,82,4,14,12,cal_candidate
253,A403,757615.188,7519213.0,84,4,12,20,cal_candidate
255,A405,757411.375,7519212.0,84,2,14,17,cal_candidate
256,A407,757312.5,7519209.0,84,4,12,19,cal_candidate
258,A411,757110.75,7519204.0,84,4,12,10,cal_candidate
261,A415,756814.188,7519200.0,84,2,14,9,cal_candidate
266,A417,756513.125,7519094.0,57,10,33,18,cal_candidate
270,A423,757514.313,7519112.0,84,4,12,26,cal_candidate
275,A425,758015.438,7519117.5,82,4,14,18,cal_candidate
276,A427,758117.25,7519120.5,84,4,12,19,cal_candidate
281,A433,757919.5,7519015.5,84,4,12,12,cal_candidate
284,A435,757615.438,7519013.0,82,4,14,12,cal_candidate
289,A439,757518.0,7518932.0,78,6,16,17,cal_candidate
296,A441,756904.938,7519705.0,86,2,12,14,cal_candidate
307,A445,756904.625,7519803.0,86,2,12,11,cal_candidate
308,A447,757003.563,7519807.5,86,2,12,13,cal_candidate
310,A449,757202.438,7519807.0,88,2,10,11,cal_candidate
311,A451,757208.0,7519909.5,86,4,10,12,cal_candidate
312,A453,757110.188,7519909.5,86,4,10,11,cal_candidate
313,A455,757011.25,7519906.0,76,4,20,13,cal_candidate
314,A457,756911.0,7519905.0,76,4,20,13,cal_candidate
345,A459,756094.75,7520096.5,16,20,64,47,cal_candidate
350,A463,756194.188,7520193.0,35,17,48,26,cal_candidate
351,A465,756293.375,7520193.5,47,9,44,32,cal_candidate
357,A467,756295.0,7520292.0,43,8,49,19,cal_candidate
363,A471,756098.0,7520488.5,74,4,22,7,cal_candidate
370,A473,756795.063,7520402.5,56,8,36,21,cal_candidate
379,A475,756291.188,7520592.0,76,4,20,25,cal_candidate
380,A477,756390.875,7520596.0,82,4,14,7,cal_candidate
382,A479,756592.813,7520597.0,84,4,12,8,cal_candidate
389,A481,756589.75,7520699.0,84,4,12,9,cal_candidate
390,A483,756489.313,7520696.0,86,2,12,12,cal_candidate
391,A485,756588.25,7520804.5,86,2,12,9,cal_candidate
393,A489,756786.25,7520801.5,84,4,12,10,cal_candidate
399,A495,757083.063,7520906.5,80,2,18,8,cal_candidate
406,A501,756982.0,7521105.0,84,2,14,5,cal_candidate
407,A503,756882.563,7521103.0,86,2,12,7,cal_candidate
409,A505,756988.5,7520705.5,78,4,18,10,cal_candidate
410,A507,757089.0,7520704.5,82,4,14,7,cal_candidate
421,A511,757395.25,7520513.5,54,6,40,15,cal_candidate
424,A513,757009.75,7520005.5,82,4,14,11,cal_candidate
437,A517,757005.375,7520208.5,62,10,28,22,cal_candidate
447,A519,757695.5,7520317.0,84,4,12,8,cal_candidate
31,A521,758910.0,7520138.5,86,4,10,17,cal_candidate
34,A523,758906.813,7519836.0,86,2,12,9,cal_candidate
175,A527,756806.688,7519600.5,80,4,16,11,cal_candidate
176,A529,756704.313,7519597.5,72,2,26,16,cal_candidate
177,A531,756603.188,7519596.5,57,10,33,20,cal_candidate
187,A535,756603.5,7519697.0,61,6,33,27,cal_candidate
191,A537,756508.25,7519494.0,44,11,45,24,cal_candidate
231,A541,756512.125,7519293.5,55,10,35,27,cal_candidate
248,A543,758211.188,7519221.0,80,4,16,41,cal_candidate
254,A545,757514.875,7519212.0,84,4,12,22,cal_candidate
264,A547,756511.75,7519194.5,60,10,30,20,cal_candidate
269,A549,757414.938,7519111.5,86,2,12,18,cal_candidate
285,A551,757519.625,7519011.5,84,4,12,12,cal_candidate
288,A553,756515.563,7518996.0,42,15,43,32,cal_candidate
294,A557,756703.0,7519698.0,65,8,27,28,cal_candidate
295,A559,756801.875,7519700.0,78,6,16,9,cal_candidate
297,A561,757000.125,7519703.0,88,2,10,13,cal_candidate
302,A565,756400.438,7519796.0,28,16,56,28,cal_candidate
303,A567,756502.5,7519794.0,29,17,54,39,cal_candidate
318,A573,756510.313,7519898.0,34,17,49,39,cal_candidate
319,A575,756410.875,7519897.5,24,16,60,32,cal_candidate
325,A577,756708.75,7520005.0,51,14,35,28,cal_candidate
326,A579,756807.25,7520003.0,53,12,35,30,cal_candidate
354,A583,756597.688,7520295.5,35,12,53,59,cal_candidate
359,A585,756098.75,7520289.5,43,11,46,27,cal_candidate
366,A587,756393.063,7520393.5,72,2,26,14,cal_candidate
368,A589,756593.563,7520397.0,64,8,28,18,cal_candidate
405,A591,757085.125,7521004.0,84,2,14,8,cal_candidate
420,A595,757292.313,7520508.0,64,8,28,16,cal_candidate
422,A597,757208.188,7520009.0,88,2,10,15,cal_candidate
423,A599,757111.25,7520009.0,86,2,12,13,cal_candidate
428,A601,756707.813,7520103.5,47,4,49,58,cal_candidate
429,A603,756810.0,7520104.0,24,16,60,86,cal_candidate
434,A605,757306.75,7520211.5,86,2,12,6,cal_candidate
179,A607,756407.188,7519593.5,24,16,60,53,cal_candidate
185,A609,756405.188,7519691.5,23,17,60,22,cal_candidate
186,A611,756505.063,7519695.5,36,10,54,26,cal_candidate
188,A613,756208.375,7519489.5,13,19,68,56,cal_candidate
190,A615,756409.125,7519492.5,47,8,45,25,cal_candidate
226,A617,756410.875,7519393.5,42,12,46,20,cal_candidate
227,A619,756309.5,7519390.5,26,17,57,31,cal_candidate
229,A623,756313.0,7519292.0,27,15,58,27,cal_candidate
321,A627,756207.125,7519893.0,20,21,59,51,cal_candidate
324,A631,756610.313,7519999.5,29,17,54,42,cal_candidate
338,A635,755984.938,7519890.0,16,18,66,29,cal_candidate
339,A637,756201.875,7519998.5,19,23,58,89,cal_candidate
341,A639,755985.813,7519990.0,11,23,66,34,cal_candidate
342,A641,755886.375,7519987.0,22,17,61,43,cal_candidate
344,A645,755995.625,7520095.5,12,21,67,31,cal_candidate
347,A647,756292.063,7520098.0,20,17,63,38,cal_candidate
348,A649,755997.063,7520191.0,43,12,45,26,cal_candidate
