Nr,ID,POINT_X,POINT_Y,Sand,Silt,Clay,Ca,set
703,B395,758109.875,7519320.0,78,2,20,1,cal_candidate
704,B397,758210.688,7519328.0,78,2,20,8,cal_candidate
707,B401,758014.875,7519219.0,78,2,20,3,cal_candidate
710,B403,757615.188,7519213.0,80,2,18,2,cal_candidate
712,B407,757312.5,7519209.0,80,2,18,2,cal_candidate
714,B411,757110.75,7519204.0,78,2,20,3,cal_candidate
717,B415,756814.188,7519200.0,78,2,20,3,cal_candidate
721,B417,756513.125,7519094.0,46,9,45,5,cal_candidate
726,B423,757514.313,7519112.0,78,2,20,3,cal_candidate
731,B425,758015.438,7519117.5,80,2,18,1,cal_candidate
732,B427,758117.25,7519120.5,80,2,18,1,cal_candidate
739,B435,757615.438,7519013.0,76,4,20,1,cal_candidate
744,B439,757518.0,7518932.0,78,2,20,5,cal_candidate
751,B441,756904.938,7519705.0,82,2,16,3,cal_candidate
762,B445,756904.625,7519803.0,80,2,18,6,cal_candidate
763,B447,757003.563,7519807.5,82,2,16,6,cal_candidate
765,B449,757202.438,7519807.0,82,2,16,1,cal_candidate
766,B451,757208.0,7519909.5,82,2,16,1,cal_candidate
767,B453,757110.188,7519909.5,82,2,16,4,cal_candidate
768,B455,757011.25,7519906.0,80,2,18,6,cal_candidate
769,B457,756911.0,7519905.0,74,2,24,4,cal_candidate
798,B459,756094.75,7520096.5,11,18,71,22,cal_candidate
803,B463,756194.188,7520193.0,19,12,69,18,cal_candidate
804,B465,756293.375,7520193.5,28,8,64,14,cal_candidate
810,B467,756295.0,7520292.0,43,6,51,4,cal_candidate
816,B471,756098.0,7520488.5,70,2,28,6,cal_candidate
823,B473,756795.063,7520402.5,57,4,39,8,cal_candidate
833,B475,756291.188,7520592.0,76,2,22,3,cal_candidate
834,B477,756390.875,7520596.0,78,2,20,4,cal_candidate
836,B479,756592.813,7520597.0,78,2,20,3,cal_candidate
843,B481,756589.75,7520699.0,80,2,18,1,cal_candidate
844,B483,756489.313,7520696.0,80,2,18,1,cal_candidate
845,B485,756588.25,7520804.5,80,2,18,3,cal_candidate
847,B489,756786.25,7520801.5,78,2,20,3,cal_candidate
853,B495,757083.063,7520906.5,76,2,22,7,cal_candidate
860,B501,756982.0,7521105.0,80,2,18,5,cal_candidate
861,B503,756882.563,7521103.0,82,2,16,5,cal_candidate
863,B505,756988.5,7520705.5,70,2,28,6,cal_candidate
864,B507,757089.0,7520704.5,74,2,24,10,cal_candidate
875,B511,757395.25,7520513.5,54,4,42,5,cal_candidate
890,B517,757005.375,7520208.5,42,11,47,24,cal_candidate
900,B519,757695.5,7520317.0,78,6,16,8,cal_candidate
491,B521,758910.0,7520138.5,82,2,16,11,cal_candidate
494,B523,758906.813,7519836.0,80,2,18,11,cal_candidate
635,B527,756806.688,7519600.5,70,4,26,7,cal_candidate
636,B529,756704.313,7519597.5,67,4,29,16,cal_candidate
637,B531,756603.188,7519596.5,46,6,48,11,cal_candidate
638,B533,756506.438,7519598.0,39,19,42,33,cal_candidate
647,B535,756603.5,7519697.0,39,12,49,14,cal_candidate
651,B537,756508.25,7519494.0,47,8,45,16,cal_candidate
690,B541,756512.125,7519293.5,48,5,47,21,cal_candidate
705,B543,758211.188,7519221.0,78,2,20,13,cal_candidate
711,B545,757514.875,7519212.0,78,2,20,19,cal_candidate
720,B547,756511.75,7519194.5,48,7,45,26,cal_candidate
725,B549,757414.938,7519111.5,78,2,20,11,cal_candidate
740,B551,757519.625,7519011.5,78,2,20,12,cal_candidate
743,B553,756515.563,7518996.0,45,10,45,25,cal_candidate
749,B557,756703.0,7519698.0,62,4,34,26,cal_candidate
750,B559,756801.875,7519700.0,76,2,22,14,cal_candidate
752,B561,757000.125,7519703.0,82,2,16,9,cal_candidate
757,B565,756400.438,7519796.0,22,11,67,26,cal_candidate
758,B567,756502.5,7519794.0,28,10,62,36,cal_candidate
773,B573,756510.313,7519898.0,22,8,70,48,cal_candidate
774,B575,756410.875,7519897.5,20,13,67,28,cal_candidate
780,B577,756708.75,7520005.0,43,10,47,24,cal_candidate
781,B579,756807.25,7520003.0,43,6,51,49,cal_candidate
807,B583,756597.688,7520295.5,24,12,64,33,cal_candidate
812,B585,756098.75,7520289.5,36,4,60,26,cal_candidate
819,B587,756393.063,7520393.5,62,4,34,27,cal_candidate
821,B589,756593.563,7520397.0,55,4,41,21,cal_candidate
859,B591,757085.125,7521004.0,80,2,18,14,cal_candidate
874,B595,757292.313,7520508.0,39,14,47,12,cal_candidate
876,B597,757208.188,7520009.0,78,4,18,7,cal_candidate
877,B599,757111.25,7520009.0,82,2,16,11,cal_candidate
881,B601,756707.813,7520103.5,21,17,62,81,cal_candidate
882,B603,756810.0,7520104.0,33,12,55,21,cal_candidate
887,B605,757306.75,7520211.5,78,2,20,8,cal_candidate
639,B607,756407.188,7519593.5,6,13,81,34,cal_candidate
645,B609,756405.188,7519691.5,17,9,74,52,cal_candidate
646,B611,756505.063,7519695.5,26,3,71,17,cal_candidate
648,B613,756208.375,7519489.5,18,18,64,50,cal_candidate
650,B615,756409.125,7519492.5,54,4,42,16,cal_candidate
685,B617,756410.875,7519393.5,26,11,63,21,cal_candidate
686,B619,756309.5,7519390.5,14,17,69,42,cal_candidate
688,B623,756313.0,7519292.0,22,13,65,28,cal_candidate
776,B627,756207.125,7519893.0,22,14,64,63,cal_candidate
779,B631,756610.313,7519999.5,31,12,57,38,cal_candidate
791,B635,755984.938,7519890.0,26,8,66,26,cal_candidate
792,B637,756201.875,7519998.5,19,9,72,49,cal_candidate
794,B639,755985.813,7519990.0,18,14,68,25,cal_candidate
795,B641,755886.375,7519987.0,20,8,72,29,cal_candidate
797,B645,755995.625,7520095.5,13,11,76,40,cal_candidate
800,B647,756292.063,7520098.0,16,15,69,16,cal_candidate
801,B649,755997.063,7520191.0,37,6,57,38,cal_candidate
880,B655,756611.0,7520099.0,27,12,61,51,cal_candidate
640,B657,756308.063,7519589.0,24,9,67,20,cal_candidate
641,B659,756203.75,7519590.5,16,14,70,17,cal_candidate
643,B661,756203.75,7519689.5,12,15,73,21,cal_candidate
754,B667,756103.125,7519786.5,17,10,73,58,cal_candidate
782,B671,755811.188,7519385.0,31,10,59,27,cal_candidate
783,B673,755808.688,7519483.0,26,10,64,37,cal_candidate
784,B675,755805.25,7519584.5,25,12,63,41,cal_candidate
786,B679,755909.938,7519585.0,20,12,68,53,cal_candidate
787,B681,755912.813,7519485.5,26,10,64,51,cal_candidate
788,B683,755914.375,7519384.5,35,8,57,30,cal_candidate
463,B685,757892.438,7520517.5,72,2,26,10,cal_candidate
581,B687,758212.875,7520025.5,72,4,24,1,cal_candidate
465,B689,758008.875,7520621.0,69,2,29,18,cal_candidate
553,B691,758278.438,7520225.0,76,2,22,12,cal_candidate
580,B693,758207.938,7520127.0,74,4,22,19,cal_candidate
737,B695,757817.063,7519016.5,74,2,24,14,cal_candidate
862,B697,756983.125,7521204.0,66,4,30,11,cal_candidate
867,B699,757393.875,7520610.5,76,4,20,1,cal_candidate
901,B701,757795.5,7520317.5,68,4,28,4,cal_candidate
908,B705,757593.75,7520413.0,57,2,41,8,cal_candidate
805,B709,756393.313,7520198.0,17,14,69,52,cal_candidate
809,B711,756395.313,7520295.5,27,9,64,44,cal_candidate
906,B713,757795.125,7520417.0,76,2,22,12,cal_candidate
469,B717,758113.688,7520518.5,76,2,22,9,cal_candidate
476,B721,758395.5,7520426.5,76,2,22,5,cal_candidate
522,B723,758711.438,7519329.0,78,2,20,1,cal_candidate
697,B725,757409.75,7519309.0,78,2,20,3,cal_candidate
719,B729,756614.063,7519197.0,65,2,33,12,cal_candidate
724,B731,757316.063,7519108.0,74,4,22,4,cal_candidate
727,B733,757615.938,7519113.5,74,4,22,4,cal_candidate
730,B735,757913.063,7519113.0,80,4,16,2,cal_candidate
746,B737,757813.938,7518922.0,70,4,26,4,cal_candidate
770,B739,756811.313,7519905.0,60,4,36,13,cal_candidate
826,B741,756791.25,7520503.5,68,2,30,7,cal_candidate
829,B743,756491.75,7520491.0,66,2,32,9,cal_candidate
830,B745,756392.063,7520493.5,72,2,26,7,cal_candidate
832,B747,756191.5,7520494.0,70,2,28,14,cal_candidate
840,B755,756889.25,7520705.0,74,2,24,9,cal_candidate
841,B757,756787.938,7520701.5,78,2,20,6,cal_candidate
842,B759,756689.375,7520698.5,78,2,20,2,cal_candidate
855,B761,756887.0,7520902.5,76,2,22,3,cal_candidate
869,B765,757191.938,7520606.0,70,2,28,15,cal_candidate
878,B767,756909.375,7520003.0,30,10,60,16,cal_candidate
884,B769,757005.5,7520107.0,66,6,28,15,cal_candidate
885,B771,757109.188,7520109.0,76,2,22,6,cal_candidate
898,B773,757496.188,7520312.5,74,2,24,12,cal_candidate
902,B775,757906.813,7520323.0,68,2,30,3,cal_candidate
903,B777,757997.188,7520316.5,67,2,31,9,cal_candidate
479,B779,758497.125,7520328.0,78,2,20,13,cal_candidate
691,B781,756612.25,7519297.0,57,4,39,43,cal_candidate
716,B785,756913.563,7519202.0,72,2,26,10,cal_candidate
738,B791,757714.25,7519015.0,72,2,26,25,cal_candidate
745,B793,757614.938,7518925.0,69,2,29,17,cal_candidate
759,B795,756608.375,7519798.5,31,9,60,39,cal_candidate
761,B797,756803.563,7519803.0,68,2,30,14,cal_candidate
778,B799,756510.125,7519997.0,30,10,60,46,cal_candidate
789,B801,756011.813,7519486.5,24,10,66,34,cal_candidate
815,B805,755994.0,7520489.0,66,2,32,25,cal_candidate
817,B807,756194.0,7520391.5,45,6,49,21,cal_candidate
818,B809,756294.938,7520389.0,65,4,31,17,cal_candidate
820,B811,756493.625,7520395.5,55,6,39,37,cal_candidate
822,B813,756695.063,7520398.5,55,4,41,30,cal_candidate
825,B815,756893.875,7520502.5,64,2,34,29,cal_candidate
827,B817,756693.25,7520500.0,68,2,30,13,cal_candidate
839,B821,756890.563,7520602.0,70,4,26,17,cal_candidate
848,B823,756887.875,7520803.0,70,4,26,16,cal_candidate
873,B825,757197.875,7520506.0,58,4,38,22,cal_candidate
883,B827,756909.5,7520108.0,43,8,49,30,cal_candidate
888,B829,757206.25,7520211.5,76,2,22,8,cal_candidate
894,B831,757092.625,7520308.0,70,2,28,26,cal_candidate
895,B833,757195.563,7520312.5,70,2,28,16,cal_candidate
896,B835,757293.063,7520307.5,74,2,24,12,cal_candidate
897,B837,757395.688,7520311.0,70,2,28,12,cal_candidate
909,B841,757496.125,7520411.5,57,6,37,32,cal_candidate
911,B843,757191.75,7520408.0,53,6,41,29,cal_candidate
472,B845,758197.813,7520624.5,90,2,8,9,cal_candidate
477,B849,758394.313,7520325.0,92,2,6,3,cal_candidate
481,B853,758599.688,7520329.5,84,2,14,12,cal_candidate
483,B855,758581.25,7520131.0,86,2,12,4,cal_candidate
486,B857,758713.5,7520032.0,86,2,12,2,cal_candidate
488,B859,758806.813,7520136.5,84,2,14,4,cal_candidate
499,B865,759007.75,7519734.5,82,4,14,3,cal_candidate
516,B869,758711.625,7519930.5,86,2,12,3,cal_candidate
517,B871,758709.188,7519834.0,88,2,10,1,cal_candidate
518,B873,758702.438,7519729.0,84,2,14,1,cal_candidate
532,B877,758604.063,7519926.5,70,20,10,9,cal_candidate
562,B879,758178.063,7520224.0,88,4,8,1,cal_candidate
586,B881,757711.75,7520016.5,84,2,14,4,cal_candidate
587,B883,757610.938,7520016.0,84,2,14,3,cal_candidate
589,B887,757411.313,7520014.0,84,2,14,1,cal_candidate
590,B889,757309.5,7520011.5,84,2,14,1,cal_candidate
592,B891,757410.75,7519915.0,84,2,14,4,cal_candidate
593,B893,757512.813,7519912.5,84,2,14,2,cal_candidate
594,B895,757600.75,7519919.5,84,2,14,1,cal_candidate
604,B899,757901.25,7519817.0,84,2,14,1,cal_candidate
606,B903,757699.375,7519816.5,84,2,14,2,cal_candidate
670,B905,757908.313,7519417.0,84,2,14,1,cal_candidate
673,B907,757610.063,7519413.5,88,4,8,1,cal_candidate
700,B909,757711.688,7519313.5,86,2,12,1,cal_candidate
701,B911,757811.125,7519320.5,88,2,10,1,cal_candidate
708,B915,757915.25,7519218.5,84,2,14,8,cal_candidate
729,B917,757815.688,7519115.0,84,2,14,12,cal_candidate
734,B919,758212.625,7519026.0,84,2,14,1,cal_candidate
735,B921,758114.0,7519024.0,84,2,14,1,cal_candidate
747,B923,757916.438,7518917.5,88,2,10,2,cal_candidate
764,B925,757102.375,7519806.0,84,2,14,1,cal_candidate
831,B927,756292.938,7520490.0,84,2,14,8,cal_candidate
854,B931,756988.813,7520903.5,86,2,12,6,cal_candidate
858,B933,756984.063,7521003.5,88,2,10,1,cal_candidate
868,B935,757291.25,7520609.0,66,20,14,1,cal_candidate
889,B939,757106.625,7520209.0,82,6,12,12,cal_candidate
907,B941,757692.313,7520416.5,88,2,10,14,cal_candidate
