"Nr","ID","POINT_X","POINT_Y","Sand","Silt","Clay","Ca","set"
866,"B65",757289.875,7520707,80,2,18,2,"cal_candidate"
451,"A67",758096.313,7520320,82,2,16,9,"cal_candidate"
904,"B67",758096.313,7520320,71,2,27,17,"cal_candidate"
317,"A69",756610.375,7519900.5,42,15,43,39,"cal_candidate"
772,"B69",756610.375,7519900.5,38,21,41,47,"cal_candidate"
360,"A71",755996.875,7520387,64,8,28,30,"validation"
813,"B71",755996.875,7520387,58,8,34,35,"validation"
371,"A73",756891.688,7520404.5,57,10,33,21,"validation"
824,"B73",756891.688,7520404.5,53,6,41,25,"validation"
457,"A75",757392.313,7520411.5,65,11,24,19,"cal_candidate"
458,"A77",757294.063,7520407,61,8,31,21,"cal_candidate"
910,"B77",757294.063,7520407,57,2,41,22,"cal_candidate"
41,"A79",759111.688,7519942,84,4,12,16,"cal_candidate"
501,"B79",759111.688,7519942,78,4,18,7,"cal_candidate"
1,"A81",757885.375,7520819,86,2,12,18,"cal_candidate"
461,"B81",757885.375,7520819,80,2,18,7,"cal_candidate"
6,"A83",758008.875,7520722.5,84,2,14,11,"cal_candidate"
466,"B83",758008.875,7520722.5,76,2,22,11,"cal_candidate"
7,"A85",758008.875,7520824.5,80,2,18,26,"cal_candidate"
467,"B85",758008.875,7520824.5,80,2,18,2,"cal_candidate"
8,"A87",758110.875,7520621,84,4,12,9,"cal_candidate"
468,"B87",758110.875,7520621,80,2,18,11,"cal_candidate"
13,"A89",758291.938,7520521,80,6,14,5,"validation"
473,"B89",758291.938,7520521,78,2,20,5,"validation"
18,"A91",758488.813,7520429.5,82,4,14,12,"validation"
478,"B91",758488.813,7520429.5,80,2,18,4,"validation"
22,"A93",758580.875,7520227.5,84,4,12,14,"cal_candidate"
482,"B93",758580.875,7520227.5,78,2,20,6,"cal_candidate"
24,"A95",758707.938,7520230.5,82,4,14,10,"cal_candidate"
484,"B95",758707.938,7520230.5,82,2,16,3,"cal_candidate"
25,"A97",758711.25,7520134.5,86,2,12,9,"validation"
485,"B97",758711.25,7520134.5,80,2,18,2,"validation"
